name	run	prompt_tokens	prefill_ms	prefill_tps	decode_ms	decode_tps
chat_01	1	22	49.1	448.4	1254.6	102.0
chat_01	2	22	48.7	452.0	1254.0	102.1
chat_01	3	22	49.1	448.4	1254.1	102.1
chat_02	1	24	48.5	495.0	1254.6	102.0
chat_02	2	24	48.7	492.9	1255.6	101.9
chat_02	3	24	48.6	493.7	1254.1	102.1
chat_03	1	22	48.7	451.5	1254.3	102.0
chat_03	2	22	48.5	453.6	1254.1	102.1
chat_03	3	22	48.7	451.7	1253.6	102.1
chat_04	1	24	48.6	493.9	1254.6	102.0
chat_04	2	24	48.7	492.6	1254.9	102.0
chat_04	3	24	48.8	491.3	1254.6	102.0
chat_05	1	24	48.7	492.8	1254.7	102.0
chat_05	2	24	48.6	493.9	1254.5	102.0
chat_05	3	24	48.6	493.8	1255.1	102.0
code_01	1	28	48.7	575.3	1257.2	101.8
code_01	2	28	48.7	575.3	1256.0	101.9
code_01	3	28	48.6	576.0	1256.1	101.9
code_02	1	28	48.7	575.3	1255.9	101.9
code_02	2	28	48.8	573.8	1256.0	101.9
code_02	3	28	48.7	575.4	1256.1	101.9
code_03	1	41	49.2	833.1	1258.6	101.7
code_03	2	41	49.3	831.4	1258.9	101.7
code_03	3	41	49.2	833.4	1258.7	101.7
code_04	1	23	48.5	473.9	1254.7	102.0
code_04	2	23	48.5	474.0	1255.3	102.0
code_04	3	23	48.6	472.8	1255.5	102.0
code_05	1	31	49.0	632.6	1256.6	101.9
code_05	2	31	49.2	630.1	1257.5	101.8
code_05	3	31	48.9	634.4	1256.1	101.9
prose_01	1	23	48.7	471.9	1254.3	102.1
prose_01	2	23	48.7	472.2	1254.7	102.0
prose_01	3	23	48.7	472.7	1253.7	102.1
prose_02	1	21	48.5	432.7	1253.8	102.1
prose_02	2	21	48.7	430.9	1253.4	102.1
prose_02	3	21	48.7	430.8	1253.8	102.1
prose_03	1	24	48.6	493.5	1254.4	102.0
prose_03	2	24	48.6	494.3	1254.1	102.1
prose_03	3	24	48.6	493.6	1254.8	102.0
prose_04	1	19	48.7	389.9	1255.3	102.0
prose_04	2	19	48.5	392.1	1254.0	102.1
prose_04	3	19	48.6	390.6	1253.3	102.1
prose_05	1	26	48.6	534.8	1255.7	101.9
prose_05	2	26	48.6	535.3	1255.4	102.0
prose_05	3	26	48.6	535.1	1255.6	101.9
